USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         257  0.0  0.0      0     0 ?        S    00:38   0:00 [scsi_eh_1]
root         258  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-scsi_tmf_1]
root         283  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/6:2-events]
root         291  0.0  0.0      0     0 ?        S    00:38   0:00 [scsi_eh_2]
root         292  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-scsi_tmf_2]
root         300  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/4:2-cgroup_destroy]
root         301  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/4:3-ata_sff]
root         305  0.0  0.0      0     0 ?        S    00:38   0:00 [irq/18-vmwgfx]
root         306  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-ttm]
root         307  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/5:2-mm_percpu_wq]
root         308  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/1:2]
root         310  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/6:2H-kblockd]
root         343  0.0  0.0      0     0 ?        S    00:38   0:00 [jbd2/sda1-8]
root         344  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-ext4-rsv-conversion]
root         369  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/3:2-cgwb_release]
root         370  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/6:3-cgroup_destroy]
root         371  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/6:4]
root         403  0.0  0.0      0     0 ?        S    00:38   0:00 [psimon]
root         413  0.2  0.2  43272 19072 ?        Ss   00:38   0:00 /usr/lib/systemd/systemd-journald
root         451  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/5:3-events]
root         454  0.2  0.1  38616 12552 ?        Ss   00:38   0:00 /usr/lib/systemd/systemd-udevd
root         459  0.0  0.0      0     0 ?        S    00:38   0:00 [psimon]
root         510  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/3:3-events]
root         577  0.1  0.0   8380  5956 ?        Ss   00:38   0:00 /usr/sbin/haveged --Foreground --verbose=1
root         598  0.1  0.0 309384  7060 ?        Ssl  00:38   0:00 /usr/libexec/accounts-daemon
message+     600  0.4  0.0  10408  6572 ?        Ss   00:38   0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      607  0.3  0.1 382732  9904 ?        Ssl  00:38   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         608  0.1  0.1  19628  9248 ?        Ss   00:38   0:00 /usr/lib/systemd/systemd-logind
root         679  0.1  0.2 336672 18788 ?        Ssl  00:38   0:00 /usr/sbin/NetworkManager --no-daemon
root         692  0.1  0.1 317332 12072 ?        Ssl  00:38   0:00 /usr/sbin/ModemManager
root         693  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-rpciod]
root         694  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-xprtiod]
root         697  0.0  0.0   6880  2652 ?        Ss   00:38   0:00 /usr/sbin/cron -f
root         707  0.1  0.0 291756  3564 ?        Sl   00:38   0:00 /usr/sbin/VBoxService
root         760  0.0  0.0 381024  6952 ?        SLsl 00:38   0:00 /usr/sbin/lightdm
root         772  0.8  0.5 2096112 48896 ?       Ssl  00:38   0:01 /usr/bin/containerd
root         808  3.7  1.6 421812 138576 tty7    Ssl+ 00:38   0:08 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
