top - 10:44:36 up  3:49,  1 user,  load average: 0.25, 0.32, 0.23
Tasks: 241 total,   1 running, 239 sleeping,   0 stopped,   1 zombie
%Cpu(s):  0.0 us,  1.3 sy,  0.0 ni, 98.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   8438.6 total,   5239.1 free,   2182.2 used,   1347.2 buff/cache     
MiB Swap:    953.7 total,    953.7 free,      0.0 used.   6256.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1432 kali      20   0  215060   3516   3224 S   0.0   0.0   0:03.96 VBoxCli+
   1440 kali      20   0 1630536 131040  82448 S   0.0   1.5   1:05.72 xfwm4
   1445 kali      20   0  312744   7712   7072 S   0.0   0.1   0:00.08 gvfsd
   1451 kali      20   0  398376   6772   6260 S   0.0   0.1   0:00.01 gvfsd-f+
   1475 kali      20   0  348116  26520  18656 S   0.0   0.3   0:02.61 xfsetti+
   1481 kali      20   0  165236   5656   5272 S   0.0   0.1   0:00.02 dconf-s+
   1485 kali      20   0  515520  52548  31948 S   0.0   0.6   0:09.90 xfce4-p+
   1491 kali      20   0  485420  25800  18592 S   0.0   0.3   0:00.33 Thunar
   1498 kali      20   0  662812  70064  42296 S   0.0   0.8   0:05.02 xfdeskt+
   1500 kali      20   0  427704  41884  32196 S   0.0   0.5   0:00.87 wrapper+
   1508 kali      20   0  332064  83780  20756 S   0.0   1.0   0:18.94 wrapper+
   1509 kali      20   0  419908  26464  19408 S   0.0   0.3   0:00.38 wrapper+
   1510 kali      20   0  358504  38548  30540 S   0.0   0.4   0:00.36 wrapper+
   1511 kali      20   0  424560  36616  28928 S   0.0   0.4   0:00.35 wrapper+
   1516 kali      20   0  424836  36812  29164 S   0.0   0.4   0:00.35 wrapper+
   1545 kali      20   0  434128  38768  30768 S   0.0   0.4   0:02.33 xfce4-n+
   1560 kali      20   0  264916  18136  15832 S   0.0   0.2   0:00.23 polkit-+
   1562 kali      20   0  603204  59636  33856 S   0.0   0.7   0:01.42 blueman+
   1564 kali      20   0   12424   1752   1480 S   0.0   0.0   0:00.81 xcape
   1569 kali      20   0  308524   6308   5796 S   0.0   0.1   0:00.03 agent
