top - 02:12:49 up  1:16,  1 user,  load average: 0.00, 0.03, 0.05
Tasks: 228 total,   3 running, 225 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  1.1 sy,  0.0 ni, 98.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   8438.6 total,   5124.5 free,   1735.8 used,   1932.9 buff/cache     
MiB Swap:    953.7 total,    953.7 free,      0.0 used.   6702.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1437 kali      20   0  155472   3484   3228 S   0.0   0.0   0:00.24 gpg-age+
   1440 kali      20   0 1640784 138232  84632 R   0.0   1.6   0:39.31 xfwm4
   1446 kali      20   0   16716   1672   1380 S   0.0   0.0   0:00.00 VBoxCli+
   1447 kali      20   0  215060   3272   2980 S   0.0   0.0   0:02.99 VBoxCli+
   1454 kali      20   0  312772   7636   6996 S   0.0   0.1   0:00.08 gvfsd
   1456 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1462 kali      20   0  398376   6944   6304 S   0.0   0.1   0:00.01 gvfsd-f+
   1486 kali      20   0  354896  34376  19408 S   0.0   0.4   0:02.31 xfsetti+
   1492 kali      20   0  165236   5608   5224 S   0.0   0.1   0:00.02 dconf-s+
   1496 kali      20   0  532884  71264  33040 S   0.0   0.8   0:06.08 xfce4-p+
   1502 kali      20   0  580836  48588  35404 S   0.0   0.6   0:03.87 Thunar
   1509 kali      20   0  672500  79828  42388 S   0.0   0.9   0:02.96 xfdeskt+
   1514 kali      20   0  428856  44280  34040 S   0.0   0.5   0:01.01 wrapper+
   1519 kali      20   0  332060  84504  20880 S   0.0   1.0   0:15.54 wrapper+
   1520 kali      20   0  485444  26336  19292 S   0.0   0.3   0:00.28 wrapper+
   1521 kali      20   0  358504  38560  30556 S   0.0   0.4   0:00.33 wrapper+
   1522 kali      20   0  424556  36116  28604 S   0.0   0.4   0:00.29 wrapper+
   1523 kali      20   0  285432  37512  29752 S   0.0   0.4   0:01.68 wrapper+
   1530 kali      20   0  424836  36872  29164 S   0.0   0.4   0:00.32 wrapper+
   1551 root      20   0  319084  10168   8120 S   0.0   0.1   0:01.32 upowerd
   1558 kali      20   0  505776  44592  30604 S   0.0   0.5   0:01.46 xfce4-n+
   1564 kali      20   0  264916  17584  15408 S   0.0   0.2   0:00.15 polkit-+
   1565 kali      20   0  603200  60680  34556 S   0.0   0.7   0:00.89 blueman+
   1566 kali      20   0   12424   1820   1548 S   0.0   0.0   0:00.91 xcape
   1569 kali      20   0  308524   6344   5960 S   0.0   0.1   0:00.01 agent
   1572 kali      20   0  922616   8736   7584 S   0.0   0.1   0:00.11 xiccd
   1584 kali      20   0  288368  44128  20612 S   0.0   0.5   0:02.68 xfce4-s+
   1587 kali      20   0   64720  40336  22160 S   0.0   0.5   0:00.49 applet.+
   1588 kali      20   0  410392  25540  18300 S   0.0   0.3   0:00.68 xfce4-p+
